PF02782.22	PF02782.22
PF21546.3	PF21546.3
PF00370.27	PF00370.27
PF02181.28	PF02181.28
PF24959.1	PF24959.1
PF00498.31	PF00498.31
PF12401.13	PF12401.13
PF17913.6	PF17913.6
PF20813.2	PF20813.2
PF08794.16	PF08794.16
PF08794.16	PF01298.24
PF20937.3	PF20937.3
PF00771.25	PF00771.25
PF06276.17	PF06276.17
PF11575.13	PF11575.13
PF20820.2	PF20820.2
PF21583.2	PF21583.2
PF15819.10	PF15819.10
PF24532.2	PF24532.2
PF05427.16	PF05427.16
PF22183.1	PF22183.1
PF01269.23	PF01269.23
PF10113.14	PF10113.14
PF18193.7	PF18193.7
PF12160.13	PF12160.13
PF08017.16	PF08017.16
PF00147.23	PF00147.23
PF07921.17	PF07921.17
PF07294.16	PF07294.16
PF22914.2	PF22914.2
PF08702.15	PF08702.15
PF09603.15	PF09603.15
PF02661.23	PF02661.23
PF21247.3	PF21247.3
PF13784.11	PF13784.11
PF15941.10	PF15941.10
PF12351.13	PF12351.13
PF24347.1	PF24347.1
PF13553.12	PF13553.12
PF06837.17	PF06837.17
PF05880.17	PF05880.17
PF03516.18	PF03516.18
PF00038.26	PF00038.26
PF04732.19	PF04732.19
PF00630.25	PF00630.25
PF22881.1	PF22881.1
PF01611.21	PF01611.21
PF06389.16	PF06389.16
PF02097.20	PF02097.20
PF08350.17	PF08350.17
PF05594.20	PF05594.20
PF13332.12	PF13332.12
PF09222.16	PF09222.16
PF21489.3	PF21489.3
PF22449.2	PF22449.2
PF16970.11	PF16970.11
PF21514.3	PF21514.3
PF22492.2	PF22492.2
PF22888.1	PF22888.1
PF00419.26	PF00419.26
PF04449.17	PF04449.17
PF02432.21	PF02432.21
PF14481.13	PF14481.13
PF15495.12	PF15495.12
PF09160.16	PF09160.16
PF17672.6	PF17672.6
PF10955.13	PF10955.13
PF17300.7	PF17300.7
PF12602.13	PF12602.13
PF05182.18	PF05182.18
PF14853.12	PF14853.12
PF14852.12	PF14852.12
PF14484.11	PF14484.11
PF08495.15	PF08495.15
PF10442.14	PF10442.14
PF10261.15	PF10261.15
PF17357.7	PF17357.7
PF22513.2	PF22513.2
PF07554.19	PF07554.19
PF11614.14	PF11614.14
PF05751.16	PF05751.16
PF02433.20	PF02433.20
PF14715.11	PF14715.11
PF05545.16	PF05545.16
PF03597.20	PF03597.20
PF21211.3	PF21211.3
PF21168.2	PF21168.2
PF22498.2	PF22498.2
PF23649.1	PF23649.1
PF18046.7	PF18046.7
PF22199.2	PF22199.2
PF00254.34	PF00254.34
PF01346.23	PF01346.23
PF18023.7	PF18023.7
PF22921.2	PF22921.2
PF14288.11	PF14288.11
PF23605.1	PF23605.1
PF20836.2	PF20836.2
PF22142.1	PF22142.1
PF03866.18	PF03866.18
PF04849.18	PF04849.18
PF10699.14	PF10699.14
PF10297.14	PF10297.14
PF11639.14	PF11639.14
PF15196.11	PF15196.11
PF05066.19	PF05066.19
PF07443.18	PF07443.18
PF04877.17	PF04877.17
PF09378.16	PF09378.16
PF06438.17	PF06438.17
PF12330.14	PF12330.14
PF02184.22	PF02184.22
PF14372.11	PF14372.11
PF21183.3	PF21183.3
PF21184.3	PF21184.3
PF10394.15	PF10394.15
PF02518.31	PF02518.31
PF13581.12	PF13581.12
PF13589.12	PF13589.12
PF13749.12	PF13749.12
PF14501.12	PF14501.12
PF08214.17	PF08214.17
PF23241.1	PF23241.1
